Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x initial_x asserv.target_x h_triangle L1 L2 
79170 4 -5 0.0002431871835142374 0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79190 -1 2 0.0002431871835142374 0.0048240474425256252 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79210 -6 2 0.0002431871835142374 -0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79230 1 -1 0.0002431871835142374 -0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79250 -1 -1 0.0002431871835142374 0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79270 -3 2 0.0002431871835142374 -0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79290 6 0 0.0002431871835142374 -0.0036180354654788971 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79310 9 -2 0.0002431871835142374 0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79330 -3 0 0.0002431871835142374 0.010854106396436691 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79350 -6 0 0.0002431871835142374 -0.0036180354654788971 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79370 8 -7 0.0002431871835142374 -0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79390 6 0 0.0002431871835142374 0.00964809488505125 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79410 -8 -3 0.0002431871835142374 0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79430 0 -1 0.0002431871835142374 -0.00964809488505125 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79450 -2 2 0.0002431871835142374 0 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79470 -4 -6 0.0002431871835142374 -0.0024120237212628126 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79490 -6 -3 0.0002431871835142374 -0.0048240474425256252 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79510 -7 2 0.0002431871835142374 -0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79530 6 -2 0.0002431871835142374 -0.00844208337366581 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79550 0 1 0.0002431871835142374 0.0072360709309577942 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79570 -3 10 0.0002431871835142374 0 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79590 7 0 0.0002431871835142374 -0.0036180354654788971 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79610 -2 -3 0.0002431871835142374 0.00844208337366581 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79630 1 0 0.0002431871835142374 -0.0024120237212628126 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79650 -1 -5 0.0002431871835142374 0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79670 2 -4 0.0002431871835142374 -0.0012060118606314063 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79690 11 -5 0.0002431871835142374 0.0024120237212628126 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79710 -2 6 0.0002431871835142374 0.013266129419207573 0.99997568130493164 0 0 1.4999902248382568 1.0975925922393799 1.5 1.5586391687393188 2.1631748676300049 1.6368765830993652
79730 1 2 -0.10000000149011612 -0.0024120237212628126 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79750 3 4 -0.10000000149011612 0.0012060118606314063 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79770 -2 6 -0.10000000149011612 0.0036180354654788971 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79790 1 -1 -0.10000000149011612 -0.0024120237212628126 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79810 4 4 -0.10000000149011612 0.0012060118606314063 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79830 -6 -4 -0.10000000149011612 0.0048240474425256252 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79850 -1 -2 -0.10000000149011612 -0.0072360709309577942 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79870 -16 -1 -0.10000000149011612 -0.0012060118606314063 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79890 -41 0 -0.10000000149011612 -0.0192961897701025 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79910 -174 -3 -0.10000000149011612 -0.049446489661931992 0 -124 55 1.4999902248382568 1.4999902248382568 0.30000001192092896 1.5586391687393188 2.1631748676300049 1.6368765830993652
79930 -136 2 -0.10000000149011612 -0.20979194343090057 0.000502467155456543 -124 55 1.499387264251709 1.4999902248382568 0.30000001192092896 1.5584449768066406 2.1626174449920654 1.6368765830993652
79950 -78 23 -0.10000000149011612 -0.1639753133058548 0.000502467155456543 -124 55 1.499387264251709 1.4999902248382568 0.30000001192092896 1.5584449768066406 2.1626174449920654 1.6368765830993652
79970 -107 60 -0.10000000149011612 -0.094044670462608337 0.000502467155456543 -124 55 1.499387264251709 1.4999902248382568 0.30000001192092896 1.5584449768066406 2.1626174449920654 1.6368765830993652
79990 -56 65 -0.10000000149011612 -0.1289767324924469 0.0010049343109130859 -124 55 1.4987843036651611 1.4999902248382568 0.30000001192092896 1.5582515001296997 2.1620597839355469 1.6368765830993652
80010 -172 60 -0.10000000149011612 -0.067501828074455261 0.0013854503631591797 -124 55 1.4983278512954712 1.4999902248382568 0.30000001192092896 1.558690071105957 2.1620597839355469 1.6374342441558838
80030 -57 31 -0.10000000149011612 -0.20727364718914032 0.0018875002861022949 -124 55 1.4977253675460815 1.4999902248382568 0.30000001192092896 1.5584967136383057 2.1615023612976074 1.6374342441558838
80050 -160 151 -0.10000000149011612 -0.068689525127410889 0.0018875002861022949 -124 55 1.4977253675460815 1.4999902248382568 0.30000001192092896 1.5584967136383057 2.1615023612976074 1.6374342441558838
80070 -69 57 -0.10000000149011612 -0.19276294112205505 0.00238955020904541 -124 55 1.4971227645874023 1.4999902248382568 0.30000001192092896 1.5583020448684692 2.1609447002410889 1.6374342441558838
80090 -136 47 -0.10000000149011612 -0.083129018545150757 0.0027700662612915039 -124 55 1.4966663122177124 1.4999902248382568 0.30000001192092896 1.558740496635437 2.1609447002410889 1.6379916667938232
80110 -66 21 -0.10000000149011612 -0.16380621492862701 0.003271937370300293 -124 55 1.4960640668869019 1.4999902248382568 0.30000001192092896 1.5585458278656006 2.1603872776031494 1.6379916667938232
80130 -141 61 -0.10000000149011612 -0.0794941857457161 0.003271937370300293 -124 55 1.4960640668869019 1.4999902248382568 0.30000001192092896 1.5585458278656006 2.1603872776031494 1.6379916667938232
80150 -80 36 -0.10000000149011612 -0.16978469491004944 0.0037736296653747559 -124 55 1.4954620599746704 1.4999902248382568 0.30000001192092896 1.5583511590957642 2.15982985496521 1.6379916667938232
80170 -124 84 -0.10000000149011612 -0.096331745386123657 0.0041542649269104 -124 55 1.4950052499771118 1.4999902248382568 0.30000001192092896 1.5587891340255737 2.15982985496521 1.6385493278503418
80190 -78 13 -0.10000000149011612 -0.14927564561367035 0.0046559572219848633 -124 55 1.4944031238555908 1.4999902248382568 0.30000001192092896 1.5585941076278687 2.1592721939086914 1.6385493278503418
80210 -121 25 -0.10000000149011612 -0.093899205327034 0.0046559572219848633 -124 55 1.4944031238555908 1.4999902248382568 0.30000001192092896 1.5585941076278687 2.1592721939086914 1.6385493278503418
80230 -59 145 -0.10000000149011612 -0.14562654495239258 0.0051574110984802246 -124 55 1.4938013553619385 1.4999902248382568 0.30000001192092896 1.5583988428115845 2.158714771270752 1.6385493278503418
80250 -137 50 -0.10000000149011612 -0.071007989346981049 0.0051574110984802246 -124 55 1.4938013553619385 1.4999902248382568 0.30000001192092896 1.5583988428115845 2.158714771270752 1.6385493278503418
80270 -64 42 -0.10000000149011612 -0.16484035551548004 0.00603938102722168 -124 56 1.4927430152893066 1.4999902248382568 0.30000001192092896 1.5586408376693726 2.1581573486328125 1.6391067504882813
80290 -145 23 -0.10000000149011612 -0.077005721628665924 0.00603938102722168 -124 56 1.4927430152893066 1.4999902248382568 0.30000001192092896 1.5586408376693726 2.1581573486328125 1.6391067504882813
80310 -69 37 -0.10000000149011612 -0.1744210422039032 0.0065404772758483887 -124 56 1.4921417236328125 1.4999902248382568 0.30000001192092896 1.5584449768066406 2.157599925994873 1.6391067504882813
80330 -127 82 -0.10000000149011612 -0.083000347018241882 0.0065404772758483887 -124 56 1.4921417236328125 1.4999902248382568 0.30000001192092896 1.5584449768066406 2.157599925994873 1.6391067504882813
80350 -62 88 -0.10000000149011612 -0.15272925794124603 0.00742262601852417 -124 56 1.4910832643508911 1.4999902248382568 0.30000001192092896 1.5586857795715332 2.1570422649383545 1.6396641731262207
80370 -159 17 -0.10000000149011612 -0.0745607390999794 0.00742262601852417 -124 56 1.4910832643508911 1.4999902248382568 0.30000001192092896 1.5586857795715332 2.1570422649383545 1.6396641731262207
80390 -61 33 -0.10000000149011612 -0.19116279482841492 0.0079237222671508789 -124 56 1.4904818534851074 1.4999902248382568 0.30000001192092896 1.5584895610809326 2.1564846038818359 1.6396641731262207
80410 -127 117 -0.10000000149011612 -0.073339194059371948 0.0079237222671508789 -124 56 1.4904818534851074 1.4999902248382568 0.30000001192092896 1.5584895610809326 2.1564846038818359 1.6396641731262207
80430 -65 53 -0.10000000149011612 -0.15265034139156342 0.008805692195892334 -124 56 1.4894236326217651 1.4999902248382568 0.30000001192092896 1.5587303638458252 2.1559271812438965 1.6402218341827393
80450 -128 45 -0.10000000149011612 -0.078128121793270111 0.008805692195892334 -124 56 1.4894236326217651 1.4999902248382568 0.30000001192092896 1.5587303638458252 2.1559271812438965 1.6402218341827393
80470 -49 11 -0.10000000149011612 -0.15381251275539398 0.0093065500259399414 -124 56 1.48882257938385 1.4999902248382568 0.30000001192092896 1.5585330724716187 2.1553695201873779 1.6402218341827393
80490 -176 32 -0.10000000149011612 -0.058881353586912155 0.0093065500259399414 -124 56 1.48882257938385 1.4999902248382568 0.30000001192092896 1.5585330724716187 2.1553695201873779 1.6402218341827393
80510 -54 154 -0.10000000149011612 -0.21143746376037598 0.0098070502281188965 -124 56 1.4882218837738037 1.4999902248382568 0.30000001192092896 1.5583359003067017 2.1548120975494385 1.6402218341827393
80530 -157 90 -0.10000000149011612 -0.0648728609085083 0.010188102722167969 -124 56 1.4877645969390869 1.4999902248382568 0.30000001192092896 1.5587724447250366 2.1548120975494385 1.6407792568206787
80550 -55 18 -0.10000000149011612 -0.18856304883956909 0.010688364505767822 -124 56 1.4871642589569092 1.4999902248382568 0.30000001192092896 1.558574914932251 2.154254674911499 1.6407792568206787
80570 -155 31 -0.10000000149011612 -0.066057115793228149 0.010688364505767822 -124 56 1.4871642589569092 1.4999902248382568 0.30000001192092896 1.558574914932251 2.154254674911499 1.6407792568206787
80590 -51 133 -0.10000000149011612 -0.18611280620098114 0.011188864707946777 -124 56 1.4865636825561523 1.4999902248382568 0.30000001192092896 1.5583775043487549 2.1536970138549805 1.6407792568206787
80610 -171 65 -0.10000000149011612 -0.06123710423707962 0.011570155620574951 -124 56 1.4861061573028564 1.4999902248382568 0.30000001192092896 1.5588129758834839 2.1536970138549805 1.6413366794586182
80630 -52 31 -0.10000000149011612 -0.20527130365371704 0.012070238590240479 -124 56 1.4855060577392578 1.4999902248382568 0.30000001192092896 1.5586158037185669 2.153139591217041 1.6413366794586182
80650 -151 18 -0.10000000149011612 -0.062421686947345734 0.012070238590240479 -124 56 1.4855060577392578 1.4999902248382568 0.30000001192092896 1.5586158037185669 2.153139591217041 1.6413366794586182
80670 -53 66 -0.10000000149011612 -0.18121598660945892 0.012570321559906006 -124 56 1.4849059581756592 1.4999902248382568 0.30000001192092896 1.5584169626235962 2.1525821685791016 1.6413366794586182
80690 -143 29 -0.10000000149011612 -0.063605621457099915 0.012570321559906006 -124 56 1.4849059581756592 1.4999902248382568 0.30000001192092896 1.5584169626235962 2.1525821685791016 1.6413366794586182
80710 -52 84 -0.10000000149011612 -0.17157068848609924 0.013451874256134033 -124 56 1.4838480949401855 1.4999902248382568 0.30000001192092896 1.5586543083190918 2.152024507522583 1.6418943405151367
80730 -207 19 -0.10000000149011612 -0.062389343976974487 0.013451874256134033 -124 56 1.4838480949401855 1.4999902248382568 0.30000001192092896 1.5586543083190918 2.152024507522583 1.6418943405151367
80750 -49 31 -0.10000000149011612 -0.24829323589801788 0.013951957225799561 -124 56 1.4832481145858765 1.4999902248382568 0.30000001192092896 1.5584557056427002 2.1514668464660645 1.6418943405151367
80770 -183 157 -0.10000000149011612 -0.05877472460269928 0.013951957225799561 -124 56 1.4832481145858765 1.4999902248382568 0.30000001192092896 1.5584557056427002 2.1514668464660645 1.6418943405151367
80790 -53 76 -0.10000000149011612 -0.2194487452507019 0.014832913875579834 -124 57 1.4821908473968506 1.4999902248382568 0.30000001192092896 1.5586922168731689 2.150909423828125 1.6424518823623657
80810 -179 25 -0.10000000149011612 -0.063556201756000519 0.014832913875579834 -124 57 1.4821908473968506 1.4999902248382568 0.30000001192092896 1.5586922168731689 2.150909423828125 1.6424518823623657
80830 -48 23 -0.10000000149011612 -0.21459640562534332 0.015332400798797607 -124 57 1.4815914630889893 1.4999902248382568 0.30000001192092896 1.55849289894104 2.1503520011901855 1.6424518823623657
80850 -210 54 -0.10000000149011612 -0.057545401155948639 0.015332400798797607 -124 57 1.4815914630889893 1.4999902248382568 0.30000001192092896 1.55849289894104 2.1503520011901855 1.6424518823623657
80870 -51 37 -0.10000000149011612 -0.2516959011554718 0.015832126140594482 -124 57 1.4809918403625488 1.4999902248382568 0.30000001192092896 1.5582937002182007 2.149794340133667 1.6424518823623657
80890 -204 99 -0.10000000149011612 -0.061126142740249634 0.016213774681091309 -124 57 1.4805339574813843 1.4999902248382568 0.30000001192092896 1.5587286949157715 2.149794340133667 1.6430094242095947
80910 -66 23 -0.10000000149011612 -0.24444118142127991 0.016713082790374756 -124 57 1.4799348115921021 1.4999902248382568 0.30000001192092896 1.5585287809371948 2.1492369174957275 1.6430094242095947
80930 -178 52 -0.10000000149011612 -0.079083904623985291 0.016713082790374756 -124 57 1.4799348115921021 1.4999902248382568 0.30000001192092896 1.5585287809371948 2.1492369174957275 1.6430094242095947
80950 -44 56 -0.10000000149011612 -0.21323162317276 0.0172121524810791 -123 57 1.4793359041213989 1.4999902248382568 0.30000001192092896 1.5583288669586182 2.1486794948577881 1.6430094242095947
80970 -235 67 -0.10000000149011612 -0.052708931267261505 0.017593860626220703 -123 57 1.4788777828216553 1.4999902248382568 0.30000001192092896 1.5587635040283203 2.1486794948577881 1.6435669660568237
80990 -60 16 -0.10000000149011612 -0.28144055604934692 0.018092930316925049 -123 57 1.4782788753509521 1.4999902248382568 0.30000001192092896 1.5585633516311646 2.1481218338012695 1.6435669660568237
81010 -222 11 -0.10000000149011612 -0.071857169270515442 0.018092930316925049 -123 57 1.4782788753509521 1.4999902248382568 0.30000001192092896 1.5585633516311646 2.1481218338012695 1.6435669660568237
81030 -50 61 -0.10000000149011612 -0.2658025324344635 0.018591821193695068 -123 57 1.4776802062988281 1.4999902248382568 0.30000001192092896 1.5583628416061401 2.14756441116333 1.6435669660568237
81050 -232 47 -0.10000000149011612 -0.059865426272153854 0.018591821193695068 -123 57 1.4776802062988281 1.4999902248382568 0.30000001192092896 1.5583628416061401 2.14756441116333 1.6435669660568237
81070 -67 84 -0.10000000149011612 -0.27770349383354187 0.019472599029541016 -123 57 1.4766232967376709 1.4999902248382568 0.30000001192092896 1.5585960149765015 2.1470067501068115 1.6441243886947632
81090 -235 24 -0.10000000149011612 -0.08019883930683136 0.019472599029541016 -123 57 1.4766232967376709 1.4999902248382568 0.30000001192092896 1.5585960149765015 2.1470067501068115 1.6441243886947632
81110 -66 73 -0.10000000149011612 -0.2812214195728302 0.019971489906311035 -123 57 1.4760246276855469 1.4999902248382568 0.30000001192092896 1.5583951473236084 2.146449089050293 1.6441243886947632
81130 -228 31 -0.10000000149011612 -0.07898133248090744 0.019971489906311035 -123 57 1.4760246276855469 1.4999902248382568 0.30000001192092896 1.5583951473236084 2.146449089050293 1.6441243886947632
81150 -90 84 -0.10000000149011612 -0.27277374267578125 0.020851850509643555 -123 57 1.4749681949615479 1.4999902248382568 0.30000001192092896 1.5586276054382324 2.1458916664123535 1.6446819305419922
81170 -215 11 -0.10000000149011612 -0.10767384618520737 0.020851850509643555 -123 57 1.4749681949615479 1.4999902248382568 0.30000001192092896 1.5586276054382324 2.1458916664123535 1.6446819305419922
81190 -58 32 -0.10000000149011612 -0.25715404748916626 0.021350383758544922 -123 57 1.474370002746582 1.4999902248382568 0.30000001192092896 1.5584261417388916 2.1453342437744141 1.6446819305419922
81210 -207 152 -0.10000000149011612 -0.0693717896938324 0.021350383758544922 -123 57 1.474370002746582 1.4999902248382568 0.30000001192092896 1.5584261417388916 2.1453342437744141 1.6446819305419922
81230 -109 49 -0.10000000149011612 -0.24758550524711609 0.021732449531555176 -123 57 1.4739115238189697 1.4999902248382568 0.30000001192092896 1.5588597059249878 2.1453342437744141 1.6452394723892212
81250 -209 58 -0.10000000149011612 -0.13033723831176758 0.022230923175811768 -123 57 1.4733134508132935 1.4999902248382568 0.30000001192092896 1.5586580038070679 2.1447765827178955 1.6452394723892212
81270 -77 25 -0.10000000149011612 -0.24984769523143768 0.022729039192199707 -123 57 1.4727157354354858 1.4999902248382568 0.30000001192092896 1.5584558248519897 2.1442191600799561 1.6452394723892212
81290 -203 67 -0.10000000149011612 -0.092049159109592438 0.022729039192199707 -123 57 1.4727157354354858 1.4999902248382568 0.30000001192092896 1.5584558248519897 2.1442191600799561 1.6452394723892212
81310 -110 37 -0.10000000149011612 -0.2426750510931015 0.022729039192199707 -123 57 1.4727157354354858 1.4999902248382568 0.30000001192092896 1.5584558248519897 2.1442191600799561 1.6452394723892212
81330 -174 76 -0.10000000149011612 -0.13146460056304932 0.0236092209815979 -123 58 1.4716594219207764 1.4999902248382568 0.30000001192092896 1.5586867332458496 2.1436617374420166 1.6457968950271606
81350 -97 19 -0.10000000149011612 -0.20795311033725739 0.0236092209815979 -123 58 1.4716594219207764 1.4999902248382568 0.30000001192092896 1.5586867332458496 2.1436617374420166 1.6457968950271606
81370 -160 45 -0.10000000149011612 -0.11589770019054413 0.024107098579406738 -123 58 1.4710619449615479 1.4999902248382568 0.30000001192092896 1.5584837198257446 2.143104076385498 1.6457968950271606
81390 -135 103 -0.10000000149011612 -0.19117148220539093 0.024107098579406738 -123 58 1.4710619449615479 1.4999902248382568 0.30000001192092896 1.5584837198257446 2.143104076385498 1.6457968950271606
81410 -180 81 -0.10000000149011612 -0.1612590104341507 0.024987280368804932 -123 58 1.4700057506561279 1.4999902248382568 0.30000001192092896 1.5587141513824463 2.1425466537475586 1.6463545560836792
81430 -104 17 -0.10000000149011612 -0.21501199901103973 0.024987280368804932 -123 58 1.4700057506561279 1.4999902248382568 0.30000001192092896 1.5587141513824463 2.1425466537475586 1.6463545560836792
81450 -115 40 -0.10000000149011612 -0.1241968497633934 0.025484740734100342 -123 58 1.4694087505340576 1.4999902248382568 0.30000001192092896 1.5585110187530518 2.1419892311096191 1.6463545560836792
81470 -134 108 -0.10000000149011612 -0.13733305037021637 0.025484740734100342 -123 58 1.4694087505340576 1.4999902248382568 0.30000001192092896 1.5585110187530518 2.1419892311096191 1.6463545560836792
81490 -123 60 -0.10000000149011612 -0.15998116135597229 0.026364922523498535 -123 58 1.4683525562286377 1.4999902248382568 0.30000001192092896 1.5587397813796997 2.1414315700531006 1.6469119787216187
81510 -115 28 -0.10000000149011612 -0.14684838056564331 0.026364922523498535 -123 58 1.4683525562286377 1.4999902248382568 0.30000001192092896 1.5587397813796997 2.1414315700531006 1.6469119787216187
81530 -117 23 -0.10000000149011612 -0.1372615247964859 0.026862263679504395 -123 58 1.4677557945251465 1.4999902248382568 0.30000001192092896 1.5585360527038574 2.1408741474151611 1.6469119787216187
81550 -124 43 -0.10000000149011612 -0.1396486908197403 0.026862263679504395 -123 58 1.4677557945251465 1.4999902248382568 0.30000001192092896 1.5585360527038574 2.1408741474151611 1.6469119787216187
81570 -101 72 -0.10000000149011612 -0.1479651927947998 0.027359545230865479 -123 58 1.4671590328216553 1.4999902248382568 0.30000001192092896 1.5583322048187256 2.1403167247772217 1.6469119787216187
81590 -126 102 -0.10000000149011612 -0.12052006274461746 0.027742207050323486 -123 58 1.4666998386383057 1.4999902248382568 0.30000001192092896 1.5587648153305054 2.1403167247772217 1.6474696397781372
81610 -110 24 -0.10000000149011612 -0.15031257271766663 0.028239548206329346 -123 58 1.466103196144104 1.4999902248382568 0.30000001192092896 1.5585601329803467 2.1397590637207031 1.6474696397781372
81630 -129 60 -0.10000000149011612 -0.13122527301311493 0.028239548206329346 -123 58 1.466103196144104 1.4999902248382568 0.30000001192092896 1.5585601329803467 2.1397590637207031 1.6474696397781372
