[key]; [value]
Version; 0x03050000
Name; Application.mesure_all
ApplicationName; Application
ApplicationDataGuid; 00000000-0000-0000-0000-000000000000
IecTaskName; MAST
Comment; 
Trigger.Flags; 0
Condition.Name; 
Condition.AddrFlags; 0x00000000
Condition.Class; 0
Condition.Size; 0
EveryNCycles; 1
BufferEntries; 101
Flags; 16
0.Variable; actualVelocity_1
0.Address.AddrFlags; 0x00000000
0.Class; 8
0.Size; 4
0.GraphColor; 4293821166
0.GraphType; 1
0.MinWarningColor; 4278190080
0.MaxWarningColor; 4294901760
0.CriticalLowerLimit; 0
0.CriticalUpperLimit; 0
0.ActivateMinWarning; 0
0.ActivateMaxWarning; 0
0.YAxis; 0
0.Data; 
; 16144; 207
; 16164; 77
; 16184; 204
; 16204; 90
; 16224; 81
; 16244; 105
; 16264; 69
; 16284; 117
; 16304; 49
; 16324; 168
; 16344; 68
; 16364; 186
; 16384; 106
; 16404; 105
; 16424; 122
; 16444; 71
; 16464; 111
; 16484; 42
; 16504; 210
; 16524; 65
; 16544; 212
; 16564; 92
; 16584; 147
; 16604; 126
; 16624; 76
; 16644; 114
; 16664; 58
; 16684; 166
; 16704; 54
; 16724; 206
; 16744; 60
; 16764; 129
; 16784; 129
; 16804; 103
; 16824; 116
; 16844; 66
; 16864; 98
; 16884; 44
; 16904; 192
; 16924; 66
; 16944; 171
; 16964; 122
; 16984; 119
; 17004; 111
; 17024; 62
; 17044; 128
; 17064; 46
; 17084; 165
; 17104; 51
; 17124; 214
; 17144; 120
; 17164; 131
; 17184; 115
; 17204; 76
; 17224; 114
; 17244; 57
; 17264; 129
; 17284; 42
; 17304; 230
; 17324; 89
; 17344; 194
; 17364; 113
; 17384; 121
; 17404; 119
; 17424; 75
; 17444; 116
; 17464; 52
; 17484; 175
; 17504; 52
; 17524; 204
; 17544; 65
; 17564; 124
; 17584; 127
; 17604; 100
; 17624; 119
; 17644; 67
; 17664; 98
; 17684; 42
; 17704; 193
; 17724; 45
; 17744; 211
; 17764; 113
; 17784; 156
; 17804; 106
; 17824; 74
; 17844; 115
; 17864; 53
; 17884; 127
; 17904; 50
; 17924; 179
; 17944; 69
; 17964; 192
; 17984; 102
; 18004; 107
; 18024; 119
; 18044; 85
; 18064; 110
; 18084; 48
; 18104; 187
; 18124; 52
; 18144; 217
; 18164; 68
; 18184; 197
; 18204; 123
; 18224; 108
; 18244; 113
; 18264; 70
; 18284; 111
; 18304; 55
; 18324; 135
; 18344; 39
; 18364; 232
; 18384; 87
; 18404; 204
; 18424; 100
; 18444; 141
; 18464; 129
; 18484; 85
; 18504; 111
; 18524; 55
; 18544; 128
; 18564; 45
; 18584; 172
; 18604; 40
; 18624; 182
; 18644; 117
; 18664; 145
; 18684; 129
; 18704; 93
; 18724; 105
; 18744; 57
; 18764; 129
; 18784; 43
; 18804; 202
; 18824; 60
; 18844; 213
; 18864; 68
; 18884; 121
; 18904; 131
; 18924; 99
; 18944; 123
; 18964; 73
; 18984; 100
; 19004; 52
; 19024; 156
; 19044; 50
; 19064; 223
; 19084; 88
; 19104; 202
; 19124; 88
; 19144; 100
; 19164; 121
; 19184; 86
; 19204; 121
; 19224; 66
; 19244; 105
; 19264; 41
; 19284; 181
; 19304; 44
; 19324; 225
; 19344; 95
; 19364; 192
; 19384; 93
; 19404; 90
; 19424; 121
; 19444; 84
; 19464; 121
; 19484; 63
; 19504; 114
; 19524; 47
; 19544; 185
; 19564; 53
; 19584; 219
; 19604; 103
; 19624; 173
; 19644; 98
; 19664; 81
; 19684; 118
; 19704; 71
; 19724; 119
; 19744; 55
; 19764; 132
; 19784; 43
; 19804; 209
; 19824; 58
; 19844; 197
; 19864; 123
; 19884; 158
; 19904; 106
; 19924; 81
; 19944; 119
; 19964; 74
; 19984; 122
; 20004; 56
; 20024; 132
; 20044; 49
; 20064; 193
; 20084; 62
; 20104; 217
; 20124; 105
; 20144; 186
; 20164; 98
; 20184; 89
; 20204; 124
; 20224; 84
; 20244; 120
; 20264; 59
; 20284; 113
; 20304; 43
; 20324; 189
; 20344; 41
; 20364; 231
; 20384; 90
; 20404; 208
; 20424; 87
; 20444; 105
; 20464; 126
; 20484; 97
; 20504; 123
; 20524; 75
; 20544; 103
; 20564; 54
; 20584; 155
; 20604; 41
; 20624; 215
; 20644; 77
; 20664; 212
; 20684; 80
; 20704; 127
; 20724; 129
; 20744; 106
; 20764; 127
; 20784; 78
; 20804; 102
; 20824; 54
; 20844; 141
; 20864; 48
; 20884; 203
; 20904; 59
; 20924; 209
; 20944; 52
; 20964; 177
; 20984; 118
; 21004; 160
