V20.3.3.0 Trace: mesure_all
C:\Users\HP\Documents\CoursMines\mecatro\TI_MECATRO_Tricodrisse\minimal_working_example\M241_ILE_2_moteurs_new.project
Timestamp(ms) actualVelocity_1 actualVelocity_2 v_target_mobile asserv.v_mobile asserv.alpha targetVelocity_1 targetVelocity_2 x init_x target_x h_triangle 
132244 -12 8 0.0081908786669373512 -0.005017673596739769 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132264 -35 3 0.0081908786669373512 -0.0066902311518788338 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132284 -28 7 0.0081908786669373512 -0.019513174891471863 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132304 4 1 0.0081908786669373512 -0.01561054028570652 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132324 3 2 0.0081908786669373512 0.0022300772834569216 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132344 0 4 0.0081908786669373512 0.0016725577879697084 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132364 -5 12 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132384 1 13 0.0036156214773654938 -0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132404 0 12 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132424 0 -12 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132444 -2 -2 0.0036156214773654938 0 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132464 1 0 0.0036156214773654938 -0.0011150386417284608 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132484 3 -1 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132504 -1 -4 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132524 1 2 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132544 -1 -1 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132564 3 -2 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132584 1 4 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132604 -1 2 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132624 1 2 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132644 3 1 0.0036156214773654938 0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132664 3 0 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132684 -1 -5 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132704 3 -6 0.0036156214773654938 -0.00055751932086423039 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132724 5 0 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132744 3 0 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132764 9 -1 0.0036156214773654938 0.0016725577879697084 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132784 5 0 0.0036156214773654938 0.005017673596739769 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132804 10 -4 0.0036156214773654938 0.0027875965461134911 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132824 15 -4 0.0036156214773654938 0.0055751930922269821 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132844 58 -6 0.0036156214773654938 0.0083627896383404732 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132864 2 -14 0.0036156214773654938 0.032336119562387466 0.99963843822479248 2 -5 0.49981921911239624 1 0.5 1.4959309101104736
132884 1 -12 0.0081908786669373512 0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132904 1 -5 0.0081908786669373512 0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132924 -2 -4 0.0081908786669373512 0.00055751932086423039 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
132944 -3 -10 0.0081908786669373512 -0.0011150386417284608 0.99918091297149658 -3 11 0.50040954351425171 1 0.5 1.4957334995269775
